"","X","COV_ID","year","abundance","simpson","richness","evenness","encs"
"1",14,1,2016,0.626387351880609,0.303406391289967,11,0.261223815312671,1.87083967075521
"2",28,2,2016,1.76594418081967,0.727098509724703,22,0.571310231893136,5.84709046329782
"3",42,3,2016,0.755326626199981,0.3713531797478,18,0.261325078387068,2.12830657052634
"4",56,4,2016,1.36984908949995,0.61993287529832,12,0.551267827150293,3.93475685453867
"5",70,5,2016,1.70372682030056,0.658718036110949,21,0.559603962575669,5.49438587160561
"6",84,6,2016,1.92270708291329,0.704742910707405,21,0.631529943445257,6.83944838499102
"7",98,7,2016,1.25045739656834,0.516076323097661,24,0.393466399035611,3.49193979351873
"8",112,8,2016,0.1489411117973,0.0494246669490847,5,0.0925423159518112,1.16060464127529
"9",126,9,2016,0.984992635401133,0.422040976248606,13,0.38402030532718,2.6777921634833
"10",140,10,2016,0.646335499274827,0.385883805581037,7,0.332150741692059,1.90853417404376
"11",154,11,2016,2.06224678469541,0.792439337354977,18,0.713488422055603,7.86361783343908
"12",168,12,2016,0.853900235968536,0.287206180878639,41,0.229940397178383,2.34878984505674
"13",182,13,2016,1.19136295458981,0.556350475549196,13,0.464478158652174,3.29156440430469
"14",196,14,2016,1.81474477266765,0.789016075561394,14,0.687648863214432,6.13950900695527
"15",210,15,2016,1.38923185220943,0.599160953443878,14,0.526412153544221,4.01176723897649
"16",224,16,2016,2.74588706214714,0.902756762250696,53,0.6916083557419,15.5784268375857
"17",238,17,2016,2.22277232118102,0.857023345714574,32,0.641356520958622,9.23289195967189
"18",252,18,2016,1.65373621776571,0.688955208354175,17,0.583696325317356,5.22647062597704
"19",266,19,2016,2.66983475076888,0.888447404447879,42,0.71430463990423,14.4375831961439
"20",280,20,2016,2.09593888307062,0.754579314897827,40,0.568177656424413,8.13307339159587
"21",294,21,2016,1.157850145297,0.664738869744367,4,0.83521233135627,3.18308274951719
"22",308,22,2016,0.414389188598277,0.146748777419858,11,0.172813714301492,1.51344602821841
"23",322,23,2016,1.66485345632982,0.715678962713369,27,0.505138307512226,5.28489872455567
"24",336,24,2016,1.36870494742146,0.665426535736946,11,0.570794297377371,3.93025750808943
"25",350,25,2016,1.63025160008224,0.736001812004576,23,0.519934494473033,5.10515901539347
"26",364,26,2016,0.398842112287475,0.135336509128683,16,0.143851884373705,1.4900983318164
"27",378,27,2016,0.739815173466906,0.437203594075969,8,0.355775893978371,2.09554816579689
"28",392,28,2016,1.02178357411838,0.576898395093174,6,0.57026827075098,2.77814537594984
"29",406,29,2016,0.625524663539089,0.218759583144031,17,0.220782760624566,1.86922641515086
"30",420,30,2016,1.01289448038248,0.456533802090113,14,0.383809199222719,2.7535596157434
"31",434,31,2016,0.596312167520827,0.279139097415933,8,0.286765535634682,1.81541150678677
"32",448,32,2016,0.882030176216136,0.480869875489678,11,0.367835153695764,2.41579922942538
"33",462,33,2016,0.741954930593768,0.420441993900611,4,0.535207349465372,2.10003693063995
"34",476,34,2016,0.912823298645624,0.54935193056951,3,0.830887573406151,2.49134642843968
"35",490,35,2016,0.880195810128514,0.437506456604694,5,0.546896406085845,2.41137183122046
"36",504,36,2016,1.08510520776847,0.571421413591523,14,0.411171517795966,2.95975119117787
"37",518,37,2016,1.13332129838279,0.619635290806572,4,0.817518508455344,3.10595519209965
"38",532,38,2016,0.376807757381219,0.165509868139612,4,0.271809341471188,1.45762406496718
"39",546,39,2016,1.5924253385984,0.743535111393656,9,0.724744004333392,4.91565661412731
"40",560,40,2016,0.8144421347132,0.409295219817681,4,0.587495814420878,2.25791570814314
"41",564,41,2016,1.57162705616792,0.711290034225731,9,0.71527829807605,4.8144752461661
"42",578,42,2016,1.48773058657353,0.71923452689496,9,0.677095369275893,4.42703733226718
"43",592,43,2016,1.41414841676249,0.662410812007496,13,0.551335804213317,4.11298242730345
"44",606,44,2016,1.32787171306542,0.683195765121067,5,0.825053083941064,3.77300479957315
"45",620,45,2016,0.91307132042038,0.492307692307692,4,0.65864173297421,2.49196441323607
"46",634,46,2016,1.61193846094974,0.784583656985417,6,0.899639984402715,5.01251838747297
"47",661,48,2016,1.07274518111831,0.584955267257356,7,0.55128197036184,2.92339373997025
"48",665,49,2016,1.27652799131868,0.638781920403105,8,0.613880200877136,3.58417381461693
"49",679,50,2016,0.88401577011836,0.51609668955063,3,0.804665830918464,2.42060079104251
"50",693,51,2016,1.02160151394894,0.50190830008474,6,0.570166661035748,2.77763963237127
"51",707,52,2016,1.02598843255616,0.616585264607355,3,0.933894917378002,2.78985167839952
"52",721,53,2016,1.34063153058499,0.686287093935761,7,0.68894832129625,3.82145610988198
"53",735,54,2016,1.10192898810928,0.637379434143786,6,0.614998277968649,3.00996661732408
"54",749,55,2016,1.45032823422071,0.731566483266307,5,0.901139598499483,4.26451404491372
"55",763,56,2016,1.85227588984417,0.804576200802292,12,0.745410653556019,6.37431025466428
"56",777,57,2016,0.381110569974639,0.185330135083954,3,0.346901790473028,1.46390946089335
"57",790,58,2016,0,0,1,NA,1
"58",804,59,2016,1.54888046570573,0.713877278974485,16,0.558640541700861,4.70619848162052
"59",818,60,2016,0.674699370027759,0.481665912177456,2,0.973385435229956,1.96344261753497
"60",832,61,2016,1.05946134932789,0.585558633425669,4,0.764239817344436,2.88481666225185
"61",846,62,2016,1.11910089524189,0.503471382451301,14,0.424053271857131,3.0620998167225
"62",860,63,2016,1.05641722298286,0.514435906771321,8,0.508029296235685,2.87604826866983
"63",874,64,2016,1.09065017202526,0.661255853327887,3,0.992752569104702,2.97620849114479
"64",878,65,2016,1.28758204189381,0.564539276509542,11,0.536963418085891,3.62401324108039
"65",891,66,2016,0.793147751404348,0.470193502267087,3,0.721954195839109,2.21034309791292
"66",895,67,2016,0.775860467890412,0.329767637768236,7,0.398713408359102,2.17246065580121
"67",899,68,2016,0.905228852928865,0.380357573697384,10,0.393135895686617,2.47249769665502
"68",913,69,2016,1.11017634935165,0.587149059177031,4,0.800822956860919,3.03489354875688
"69",927,70,2016,1.4909976332936,0.714599168005068,7,0.766221212226802,4.44152432201364
"70",941,71,2016,1.2931521722022,0.500729868724135,18,0.447399947314549,3.64425579155683
"71",955,72,2016,2.15604832188721,0.824789387667592,25,0.669814071493574,8.636939727675
"72",969,73,2016,1.65154769286775,0.716833126427136,22,0.534301200254756,5.21504487221737
"73",983,74,2016,2.20652023673309,0.852515537643947,21,0.724750853990434,9.0840509840002
"74",997,75,2016,1.30256409007447,0.587209303936079,21,0.427838558170877,3.67871714710266
"75",1011,76,2016,2.22270131588265,0.859672268812244,17,0.784516040963043,9.23223639869785
"76",1025,77,2016,2.13725430066912,0.829667893800717,23,0.681632353142702,8.4761327374291
"77",1039,78,2016,0.884860578153638,0.483839224738404,7,0.454728384341494,2.42264659807642
"78",1053,79,2016,1.7492078026969,0.695497560955376,24,0.550402194573711,5.75004570053553
"79",1067,80,2016,1.87724593330601,0.758164074158458,14,0.711332001862834,6.53548090370561
"80",1081,81,2016,1.30397792247271,0.681987680680259,9,0.593465927845013,3.68392191505696
"81",1095,82,2016,0.769580667470425,0.327515284244991,10,0.334224637261827,2.15886078339829
"82",1109,83,2016,1.73687217748092,0.78402613730336,11,0.724331957773107,5.67955098391663
"83",1123,84,2016,1.01655202858997,0.584945056294392,7,0.522404402424993,2.76364933334638
"84",1137,85,2016,1.14354910008643,0.645594111080356,4,0.824896307853864,3.13788529494029
"85",1151,86,2016,0.85347874789087,0.515061896137706,7,0.438601313788929,2.34780006674463
"86",1165,87,2016,0.569241730342941,0.30741998387101,8,0.273747407144271,1.76692673640738
"87",1179,88,2016,1.02357523736348,0.614224139745502,4,0.738353459460521,2.78312733857646
"88",1193,89,2016,0.807292031958921,0.494778918663009,5,0.501598741847692,2.24182895831137
"89",1207,90,2016,0.953457703044295,0.392008579881657,8,0.458516233293129,2.59466575030503
"90",1221,91,2016,1.02775792217664,0.576133210451383,8,0.494247085852864,2.7947926622077
"91",1235,92,2016,0.369530697972137,0.183060680318765,5,0.229602332042286,1.44705534927564
"92",1249,93,2016,0.352704122824764,0.162288790921179,3,0.32104512798811,1.42291007453087
